$Culture,$Criticality,$CriticalityModifier,$InitialKnown,InterDependency,$Dynamism,$Size,$Plan,$TeamSize,$Cost,<Score,<Completion,<Idle
0.12083711052127287,1.2556786152353065,3,0.6330159690082966,88,3,0,1,12,230.02504187702118,0.9653620535902265,0.7857142857142857,0.0
0.14911203863111086,0.8601805372064765,2,0.9153616314807954,83,1,1,4,17,163.01574441159573,0.945824083670137,0.9423076923076923,0.20967741935483875
0.1288389708730392,1.0530853127010422,5,0.8489144380488893,87,6,1,1,12,620.2104006494953,0.965886339776699,0.6571428571428571,0.0
0.10597572636750893,1.0253266242204502,4,0.7622344600016584,85,6,1,2,14,436.0397493175901,0.9424610638059936,0.9130434782608695,0.27586206896551724
0.1932657634074143,1.2479727364375073,5,0.637298843336349,87,3,0,2,19,724.418957321611,0.939693751623759,1.0,0.2222222222222222
0.14003209168103256,0.9577744970524373,7,0.7086483148461045,92,4,1,2,12,599.6368299742658,0.9431025246184038,0.9714285714285714,0.4925373134328358
0.14706255223213088,0.8841245405517759,4,0.8853500216986021,90,8,1,1,17,303.6192664130744,0.9448482422889959,0.7727272727272727,0.15000000000000002
0.17306891039933403,0.8374453268982127,4,0.7630222405328821,98,5,1,4,16,341.690798386089,0.8678760089947408,1.0,0.4307692307692308
0.132344999306706,1.1765749380595805,2,0.6881254782337464,84,8,0,4,14,119.24541030118203,0.9321707566386674,0.7,0.0
0.13106081179910867,1.1585200321663818,6,0.8470181441043507,81,2,0,1,13,406.39509926080933,0.9696130298557465,0.9333333333333333,0.5625
0.13922397843524914,0.8938882071617418,5,0.6016982820691462,80,2,0,2,11,254.50872731378433,0.9656109540454861,1.0,0.08333333333333337
0.1868338170658612,1.1993279477647039,2,0.6486458833217141,93,6,0,3,19,152.69245679506676,0.8464777720780255,0.8571428571428571,0.5714285714285714
0.11001103625198896,1.1919133026579805,4,0.7358423488695962,91,7,0,0,15,259.05642117093913,0.9324375239676934,0.9166666666666666,0.0
0.140594062361957,1.1340610990336355,2,0.7156337825598645,85,7,0,0,14,142.66475936637573,0.8570024980570424,0.9375,0.4642857142857143
0.11457208314297404,1.1959636767466024,5,0.6800953267573067,81,6,0,3,13,451.2235230355151,0.9680752401399589,0.9166666666666666,0.2142857142857143
0.13182866046397373,0.9668982808397958,2,0.9308291504118296,89,9,0,4,12,81.42933685194177,0.951796314885229,0.19047619047619047,0.0
0.13577931914133645,0.8792209954453432,5,0.8577529148279832,86,8,0,0,12,298.69896805035506,0.9201691395911514,1.0,0.41666666666666663
0.11217780188545742,0.8670747324470202,4,0.6771088446720135,80,1,0,3,11,135.28526632891953,0.9832145218561997,0.8181818181818182,0.0
0.15855301010722975,1.0439584475292092,6,0.8199871341945709,82,5,0,2,14,288.0547297963156,0.9619111960501423,0.8461538461538461,0.0
0.1217499384467206,1.2061778785876944,3,0.8239407510448837,82,1,1,3,15,331.6035936938634,0.9537925261305475,0.8333333333333334,0.1228070175438597
0.15174202103057577,0.9068008009151565,2,0.7855235103628934,88,8,0,0,11,114.23049230943427,0.960195088560196,0.6956521739130435,0.0
